Domain Name,Organization
acquisition.army.mil,Acquisition Business
acsap.army.mil,Army Center for Substance Abuse Programs (ACSAP)
acsim.army.mil,Assistant Chief of Staff for Installation Management (ACSIM)
adpaas.army.mil,Unknown
arfppublic.adpaas.army.mil,Unknown
pki.adpaas.army.mil,Unknown
adpaassupport.army.mil,Unknown
adtdl.army.mil,Reimer Digital Library
ae2s.army.mil,Unknown
ae2s0.army.mil,Unknown
ae2s1.army.mil,Unknown
ae2s2.army.mil,Unknown
ae2s3.army.mil,Unknown
ae2s4.army.mil,Unknown
ae2s5.army.mil,Unknown
ae2s6.army.mil,Unknown
ae2s7.army.mil,Unknown
ae2s8.army.mil,Unknown
ae2s9.army.mil,Unknown
aec.army.mil,United States Army Environmental Command
aep.army.mil,Unknown
aeps.army.mil,AMC Logistics Web Portal
smreports-test.aesip.army.mil,Unknown
solman-test.aesip.army.mil,Unknown
afhsc.army.mil,Unknown
afsbeurope.army.mil,405th AFSB Organizational Public Website
agc.army.mil,Army Geospatial Center (AGC)
galaxy.agc.army.mil,Unknown
ags.army.mil,"Adjutant General School, Fort Jackson, S.C."
emilpotrngtest.ahrs.army.mil,Unknown
emilpowbt.ahrs.army.mil,Unknown
almc.army.mil,Unknown
alt.army.mil,"Assistant Secretary of the Army for Acquisitions, Logistics, and Technology (ASA(ALT))"
clauselogic.altess.army.mil,Unknown
clauselogic-test.altess.army.mil,Unknown
sso-test.altess.army.mil,Unknown
alu.army.mil,"Logistics Management College, Fort Lee, Va."
amc-equip.army.mil,Unknown
amedd.army.mil,Unknown
acc.amedd.army.mil,Unknown
alaska.amedd.army.mil,Medical Department-Alaska (MEDDAC-Alaska)
allergenextractexpress.amedd.army.mil,Unknown
ameddciviliancorps.amedd.army.mil,Unknown
amsara.amedd.army.mil,Accession Medical Standards Analysis & Research Activity (AMSARA)
amsc.amedd.army.mil,Unknown
apmhe.amedd.army.mil,Unknown
apmmc.amedd.army.mil,Unknown
bamc.amedd.army.mil,Unknown
blastInjuryResearch.amedd.army.mil,DOD Blast Injury Research Program
blastinjuryresearch.amedd.army.mil,DoD Blast Injury Research Program
campbell.amedd.army.mil,Blanchfield Army Community Hospital
ccc.amedd.army.mil,USAMRMC Combat Casualty Care Research Program (CCCRP)
cdn.amedd.army.mil,Unknown
crdamc.amedd.army.mil,"Carl R. Darnall Army Medical Center, Fort Hood, Texas"
crmrp.amedd.army.mil,USAMRMC Clinical and Rehabilitative Medicine Research Program (CRMRP)
cs.amedd.army.mil,U.S. Army Medical Department Center & School Portal
ddeamc.amedd.army.mil,"Dwight D. Eisenhower Army Medical Center, Fort Gordon, Ga."
dmrdp.amedd.army.mil,Defense Medical Research and Development Program (DMRDP)
dodser.amedd.army.mil,Unknown
dsc2.amedd.army.mil,Unknown
edmsp-mrmcit.amedd.army.mil,Unknown
eeo.amedd.army.mil,Medical Command (MEDCOM) Office of Equal Employment Opportunity Programs
eitpmo.amedd.army.mil,Unknown
erdc.amedd.army.mil,Europe Regional Dental Command
ermc.amedd.army.mil,Europe Regional Medical Command
ers.amedd.army.mil,Unknown
evans.amedd.army.mil,"Evans Army Hospital, Fort Carson, Colo."
g-eyes.amedd.army.mil,Unknown
glwach.amedd.army.mil,"General Leonard Wood Army Community Hospital, Fort Leonard Wood, Mo."
gordentac.amedd.army.mil,U.S. Army Southern Regional Dental Command
hrcoe.amedd.army.mil,Unknown
rwbach.huachuca.amedd.army.mil,"Raymond W. Bliss Army Health Clinic, Fort Huachuca, Ariz."
iach.amedd.army.mil,"Irwin Army Community Hospital,Fort Riley, Kan."
iphc.amedd.army.mil,Unknown
irwin.amedd.army.mil,"Weed Army Community Hospital, Fort Irwin, Calif."
jcbdrp.amedd.army.mil,"Joint Chemical Biological Defense Research Program (JCBDRP), Md."
kach.amedd.army.mil,"Keller Army Community Hospital, West Point, N.Y."
iach.knox.amedd.army.mil,"Ireland Army Community Hospital, Fort Knox, Ky."
mamc.amedd.army.mil,Madigan Army Medical Center
informatics-sp.mamc.amedd.army.mil,Unknown
martin.amedd.army.mil,"Martin Army Community Hospital, Fort Benning, Ga."
medchembio.amedd.army.mil,Chemical Biological Defense Partnership Support Directorate
medlinet.amedd.army.mil,AMEDD Virtual Library
merits.amedd.army.mil,Unknown
mhsrs.amedd.army.mil,Military Health System Research Symposium (MHSRS)
midrp.amedd.army.mil,USAMRMC Military Infectious Diseases Research Program (MIDRP)
momrp.amedd.army.mil,USAMRMC Military Operational Medicine Research Program (MOMRP)
moncrief.amedd.army.mil,"Moncrief Army Community Hospital, Fort Jackson, S.C."
mrmc.amedd.army.mil,U.S. Army Medical Research and Materiel Command
mrmc-npi.amedd.army.mil,USAMRMC New Products and Idea (NPI)
mrmc-pdp.amedd.army.mil,USAMRMC Personnel Demonstration Project
munson.amedd.army.mil,"Munson Army Health Center, Fort Leavenworth, Kan."
narmc.amedd.army.mil,North Atlantic Medical Command
kacc.narmc.amedd.army.mil,"Kimbrough Ambulatory Care Center, Fort Meade, Md."
kenner.narmc.amedd.army.mil,"Kenner Army Health Clinic, Fort Lee, Va."
mcdonald.narmc.amedd.army.mil,"McDonald Army Community Hospital, Fort Eustis, Va."
kacc.nrmc.amedd.army.mil,"Andrew Rader Health Clinic, Fort Myer, Va."
phc.amedd.army.mil,Army Health Promotion and Preventive Medicine
polk.amedd.army.mil,"Bayne-Jones Army Community Hospital, Fort Polk, La."
rahc.amedd.army.mil,"Rodriguez Army Health Clinic, Fort Buchanan, Puerto Rico"
redstone.amedd.army.mil,"Fox Army Health Center, Redstone Arsenal, Ala."
rucker.amedd.army.mil,U.S. Army Aeromedical Center
sammc.amedd.army.mil,San Antonio Military Medical Center
secure-cs.amedd.army.mil,Unknown
rach.sill.amedd.army.mil,"Reynolds Army Community Hospital, Fort Sill, Okla."
srmc.amedd.army.mil,U.S. Army Southern Regional Medical Command
srts.amedd.army.mil,Unknown
stem.amedd.army.mil,"USAMRMC Science, Technology, Engineering and Mathematics (STEM) Outreach"
tamc.amedd.army.mil,Pacific Medical Command
path.tamc.amedd.army.mil,Unknown
www2.tamc.amedd.army.mil,Unknown
technologytransfer.amedd.army.mil,USAMRMC Technology Transfer Office
usacehr.amedd.army.mil,U.S. Army Center for Environmental Health Research
usaisr.amedd.army.mil,U.S. Army Institute of Surgical Research
usammc-k.amedd.army.mil,United States Army Medical Materiel Center - Korea (USAMMC-K)
usammce.amedd.army.mil,"U.S. Army Medical Materiel Center, Europe"
usamru-e.amedd.army.mil,U.S. Army Medical Research Unit - Europe (USAMRU-E)
usaphc.amedd.army.mil,Unknown
vet1.amedd.army.mil,Unknown
vet2.amedd.army.mil,Unknown
vet3.amedd.army.mil,Unknown
wamc.amedd.army.mil,"Womack Army Medical Center, Fort Bragg, N.C."
wbamc.amedd.army.mil,"William Beaumont Army Medical Center, Fort Bliss, Texas"
wellness.amedd.army.mil,Unknown
winn.amedd.army.mil,"Winn Army Community Hospital, Fort Stewart, Ga."
allergenextractexpress.wramc.amedd.army.mil,Unknown
dewitt.wramc.amedd.army.mil,"DeWitt Army Community Hospital, Fort Belvoir, Va."
wrmc.amedd.army.mil,Western Regional Medical Command (WRMC)
portal.wrmc.amedd.army.mil,Unknown
ameddcs.army.mil,Unknown
ami.army.mil,Unknown
aa.amrdec.army.mil,Unknown
ams.army.mil,"Army Analysis, Modeling and Simulation Competencey Development"
web.amsaa.army.mil,Army Materiel Systems Analysis Activity
anad.army.mil,Anniston Army Depot
procnet.anad.army.mil,Unknown
www.procnet.anad.army.mil,Unknown
anadprocnet.army.mil,Unknown
ansbach.army.mil,USAG Ansbach Official Website
aors.army.mil,Army Operations Research Symposium
apd.army.mil,Official Army Publications and Forms
apg.army.mil,Aberdeen Proving Ground
gps.apg.army.mil,Unknown
impac.apg.army.mil,Unknown
peoiews.apg.army.mil,PEO IEW&S; website
r2csr.apg.army.mil,Unknown
rdit.apg.army.mil,Unknown
ako.sec.apg.army.mil,Unknown
arat.sed.apg.army.mil,Unknown
medinah.sed.apg.army.mil,Unknown
webcm.apg.army.mil,Unknown
apgea.army.mil,Unknown
cbconnect.apgea.army.mil,Unknown
cbrniac.apgea.army.mil,Unknown
user.cbrniac.apgea.army.mil,Unknown
chemdef.apgea.army.mil,U.S. Army Medical Research Institute of Chemical Defense (USAMRICD)
ftg.apgea.army.mil,Unknown
aphill.army.mil,"A. P. Hill, Va."
apms.army.mil,Unknown
arat.army.mil,Unknown
arc.army.mil,Unknown
arc-stg.army.mil,Unknown
arcent.army.mil,"160th Signal Brigade, Camp Arifjan, Kuwait"
arcic.army.mil,Army - Capabilities Integration Center (ARCIC)
arcyber.army.mil,Army Cyber Command
ardec.army.mil,Benet Labs
arims.army.mil,Records Information Management
arl.army.mil,U.S. Army Research Laboratory
ess.arl.army.mil,Unknown
safe.arl.army.mil,Unknown
safeftp.arl.army.mil,Unknown
w3.arl.army.mil,Unknown
armamentsec.army.mil,Unknown
armor.army.mil,Unknown
armyeducation.army.mil,Education
armyg1.army.mil,Deployment Health Assessment Program (DHAP)
armyihonline.army.mil,Unknown
armymedicine.army.mil,Army Medicine
armypubs.army.mil,"Forms, Official Department of the Army"
arng.army.mil,Army National Guard
arnorth.army.mil,Army North Public Website
arsouth.army.mil,Unknown
asafm.army.mil,Assistant Secretary of the Army for Financial Management and Comptroller (ASA(FM&C;))
asaie.army.mil,Assistant Secretary of the Army for Installations and Environment (ASAIE)
asamra.army.mil,Assistant Secretary of the Army for Manpower and Reserve Affairs (ASAMRA)
asars.army.mil,Unknown
asc.army.mil,United States Army Acquisition Support Center
aschq.army.mil,Army Sustainment Command
portal.aschq.army.mil,Unknown
asec.army.mil,Unknown
atc.army.mil,Aberdeen Test Center
vision.atc.army.mil,Unknown
atec.army.mil,U.S. Army Developmental Test Command (DTC)
atn.army.mil,Army Training Network
atrrs.army.mil,Army Training Requirements and Resources System (ATRRS)
ats.army.mil,Air Traffic Services Command (ATSCOM)
atsc.army.mil,Army Correspondence Course Program
idmsonline.atsc.army.mil,Unknown
tsmats.atsc.army.mil,Unknown
awg.army.mil,Asymmetric Warfare Group (AWG)
newportal.awg.army.mil,Unknown
portal.awg.army.mil,Unknown
bands.army.mil,Army Bands
baumholder.army.mil,USAG Baumholder
belvoir.army.mil,USAG Fort Belvoir
amsc.belvoir.army.mil,Army Management Staff College (AMSC)
liwa.belvoir.army.mil,Unknown
neccitrix.belvoir.army.mil,Unknown
osaa.belvoir.army.mil,"Operational Support Airlift Agency (OSAA), Fort Belvoir, Va."
rfmssbackup.belvoir.army.mil,Unknown
benning.army.mil,Fort Benning
bhsl.army.mil,Unknown
bliss.army.mil,"1st Armored Division, Fort Bliss, Texas"
usasma.bliss.army.mil,Sergeant Major Academy
bluegrass.army.mil,"Blue Grass Army Depot, Ky."
bragg.army.mil,1st Theater Sustainment Command
buchanan.army.mil,"Fort Buchanan, Puerto Rico"
caa.army.mil,Center for Army Analysis (CAA)
call.army.mil,Center for Army Lessons Learned (CALL)
call2.army.mil,Unknown
campbell.army.mil,Fort Campbell
cape.army.mil,Center for the Army Profession and Ethic (CAPE)
carlisle.army.mil,"Army War College, Pa."
carlislebarracks.carlisle.army.mil,"Carlisle Barracks, Pa."
carlisle-www.army.mil,Unknown
carson.army.mil,"4th Infantry Division, Fort Carson, Colo."
cascom.army.mil,"Combined Arms Support Command, Ft. Lee, Va."
ccad.army.mil,"Corpus Christi Army Depot (CCAD), Texas"
cdmrp.army.mil,Congressionally Directed Medical Research Programs
ceava.army.mil,Unknown
cecom.army.mil,Communications-Electronics Command (CECOM)
cerdec.army.mil,U.S. Army RDECOM CERDEC
chapnet.army.mil,"Chaplain School, Fort Jackson, S.C."
chess.army.mil,CHESS IT Emart
chess2.army.mil,Unknown
cid.army.mil,Criminal Investigation Command (CID)
ciog6.army.mil,Chief Information Officer (CIO/G6)
civiliantraining.army.mil,Civilian Training and Leader Development
ckc.army.mil,Unknown
clinicaltrials.army.mil,Walter Reed Army Institute of Research Clinical Trials Center (WRAIR-CTC)
cma.army.mil,U.S. Army Chemical Materials Agency
coin.army.mil,Unknown
coldwar.army.mil,Unknown
coloradoguard.army.mil,Colorado Army National Guard
combat-trafficking.army.mil,Combat Trafficking In Persons
combinedarmscenter.army.mil,Unknown
cool.army.mil,Army Credentialing Opportunities Online (COOL)
cp26.army.mil,Career Program 26 - Manpower and Force Management
cpol.army.mil,Army Civilian Personnel
crane.army.mil,Crane Army Ammunition Activity
crsc.army.mil,Unknown
crtc.army.mil,Cold Regions Test Center (CRTC)
csla.army.mil,Communications Security Logistics Activity (CSLA)
css-comms.army.mil,Unknown
rwcp.ctnosc.army.mil,Unknown
culturalknowledge.army.mil,Unknown
dencom.army.mil,Army Dental Care
detrick.army.mil,"Fort Detrick, Md."
riid-vision.detrick.army.mil,Unknown
devens.army.mil,Fort Devens
devens-www.army.mil,Unknown
dix.army.mil,U.S. Army Support Activity Fort Dix
jmmsweb.dix.army.mil,Unknown
dls.army.mil,Army Distributed Learning System
drum.army.mil,Fort Drum
dtc.army.mil,Unknown
dtms.army.mil,Digital Training Management System (DTMS)
dtms-cats.army.mil,Unknown
dtms-dev.army.mil,Unknown
dtmsservices.army.mil,Unknown
dugway.army.mil,"Dugway Proving Ground, Utah"
eace.army.mil,Unknown
eas.army.mil,Unknown
ebis.army.mil,Unknown
ecbc.army.mil,U.S. Army Edgewood Chemical Biological Center
eis.army.mil,Product Manager Joint-Automatic Identification Technology (PM J-AIT)
ellcmedia.army.mil,Unknown
aasa.epic.army.mil,Unknown
demo.epic.army.mil,Unknown
morrow.epic.army.mil,Unknown
eur.army.mil,21st Theater Sustainment Command
usagbenelux.eur.army.mil,U.S. Army Garrison - Benelux
euromwr.army.mil,Unknown
jdtc.eustis.army.mil,Joint Deployment Training Center
faast.army.mil,Unknown
forscom.faast.army.mil,Unknown
staging.faast.army.mil,Unknown
usarc.faast.army.mil,Unknown
fbcb2.army.mil,Unknown
fdm.army.mil,Unknown
fifeanddrum.army.mil,The United States Army Old Guard Fife and Drum Corps
finance.army.mil,"Finance School, Fort Jackson, S.C."
first.army.mil,First U.S. Army
ako.first.army.mil,Unknown
floridaguard.army.mil,Florida National Guard
fmsweb.fms.army.mil,Unknown
fmsweb.army.mil,Unknown
ftmeade.army.mil,Fort George G. Meade
g357public.army.mil,Unknown
liw.g4fwd.army.mil,Unknown
g8.army.mil,G-8 - Office of the Deputy Chief of Staff for Programs
garmisch.army.mil,U.S. Army Garrison - Garmisch
garrison-michigan.army.mil,"U.S. Army Garrison - Detroit Arsenal, Warren, Mich."
gfebs.army.mil,Unknown
trgdelaeg.gfebs-erp.army.mil,Unknown
trgdelep.gfebs-erp.army.mil,Unknown
gomo.army.mil,General Officer Management Office (GOMO)
goordnance.army.mil,Unknown
gordon.army.mil,"Fort Gordon, Ga."
commsworkorder.gordon.army.mil,Unknown
ctm.gordon.army.mil,Unknown
ia.gordon.army.mil,Unknown
gps.army.mil,Unknown
grafenwoehr.army.mil,U.S. Army Garrison - Bavaria
greely.army.mil,USAG Fort Greely
gsc.army.mil,Unknown
hamilton.army.mil,Fort Hamilton
garrison.hawaii.army.mil,USAG Hawaii
history.army.mil,Medal of Honor Citations All Wars
hood.army.mil,Fort Hood
pao.hood.army.mil,"Fort Hood, Texas"
housing.army.mil,Army Housing
hqda.army.mil,Army Audit Agency
hqdainet.army.mil,Military Postal Service Agency (MPSA)
healthcare.hqusareur.army.mil,Unknown
chppmeur.healthcare.hqusareur.army.mil,Army Center for Health Promotion and Preventive Medicine - Europe
heidelberg.healthcare.hqusareur.army.mil,Unknown
hrc.army.mil,Cold War Recognition Certificate
mobile.hrc.army.mil,Unknown
hrsolutions.army.mil,Program Executive Office for Enterprise Information Systems: HR Solutions
csla.hua.army.mil,Unknown
webeoc.huachuca-www.army.mil,Unknown
icon.army.mil,"Intelligence, Office of the Deputy Chief of Staff for Intelligence (ODCSINT) - G-2"
tigs-online.ignet.army.mil,Army Inspector General School
ikn.army.mil,Unknown
ikon.army.mil,Unknown
ilsc.army.mil,Tank-automotive & Armaments Command (TACOM) Life Cycle Management Command (LCMC) Integrated Logistics Support Center
imcom.army.mil,IMCOM
apps.imcom.army.mil,Unknown
imcom-europe.army.mil,Installation Management Command - Europe
inscom.army.mil,513th Military Intelligence Brigade
ipps-a.army.mil,Integrated Personnel and Pay System-Army (IPPS-A)
ipps-a-prod.army.mil,Unknown
irmis.army.mil,Unknown
irwin.army.mil,The National Training Center - Fort Irwin
irwin-www.army.mil,Unknown
ita.army.mil,U.S. Army Information Technology Agency
iwff.army.mil,Unknown
jagcnet.army.mil,"Fiscal Law Website, JAG"
jagcnet146.army.mil,Unknown
jagcnet2.army.mil,Unknown
jagcnet3.army.mil,Unknown
jagcnet4.army.mil,Unknown
jagcnet5.army.mil,Unknown
jagu.army.mil,Unknown
jbc-p.army.mil,Unknown
jbmhh.army.mil,"Fort McNair, Washington, D.C."
jacks.jpeocbd.army.mil,Unknown
survey.jpeocbd.army.mil,Unknown
jrtc-polk.army.mil,"Fort Polk, La."
sif.kc.army.mil,Unknown
sp.kc.army.mil,Unknown
sso.tbc.kc.army.mil,Unknown
ke.army.mil,Unknown
knox.army.mil,"Fort Knox, Kentucky"
doc.knox.army.mil,Unknown
mmbl.knox.army.mil,Unknown
knoxtv.army.mil,Unknown
19esc.korea.army.mil,"19th Theater Sustainment Command, Korea"
2id.korea.army.mil,"2nd Infantry Division, Camp Red Cloud, Korea"
8tharmy.korea.army.mil,"2nd Battalion, 1st Air Defense Artillery Regiment, Korea"
ksc.korea.army.mil,Korean Service Corps Battalion
ellc.learn.army.mil,Unknown
acc.ellc.learn.army.mil,Unknown
acpme.ellc.learn.army.mil,Unknown
aiph-dohs.ellc.learn.army.mil,Unknown
almc.ellc.learn.army.mil,Unknown
amedd.ellc.learn.army.mil,Unknown
amsc.ellc.learn.army.mil,Unknown
armor.ellc.learn.army.mil,Unknown
arrtc.ellc.learn.army.mil,Unknown
asc.ellc.learn.army.mil,Unknown
asom.ellc.learn.army.mil,Unknown
atsc.ellc.learn.army.mil,Unknown
avnctr.ellc.learn.army.mil,Unknown
catc.ellc.learn.army.mil,Unknown
chemical.ellc.learn.army.mil,Unknown
crc.ellc.learn.army.mil,Unknown
deomi.ellc.learn.army.mil,Unknown
dftra.ellc.learn.army.mil,Unknown
dspdss.ellc.learn.army.mil,Unknown
eaats.ellc.learn.army.mil,Unknown
engineer.ellc.learn.army.mil,Unknown
fcoe.ellc.learn.army.mil,Unknown
guardu.ellc.learn.army.mil,Unknown
iet.ellc.learn.army.mil,Unknown
ipo.ellc.learn.army.mil,Unknown
jag.ellc.learn.army.mil,Unknown
ldd.ellc.learn.army.mil,Unknown
manscen.ellc.learn.army.mil,Unknown
mcoe.ellc.learn.army.mil,Unknown
mi.ellc.learn.army.mil,Unknown
mp.ellc.learn.army.mil,Unknown
ncoes.ellc.learn.army.mil,Unknown
oaats.ellc.learn.army.mil,Unknown
ordnance.ellc.learn.army.mil,Unknown
qm.ellc.learn.army.mil,Unknown
scoe.ellc.learn.army.mil,Unknown
smdc.ellc.learn.army.mil,Unknown
ssi.ellc.learn.army.mil,Unknown
swcs.ellc.learn.army.mil,Unknown
tops.ellc.learn.army.mil,Unknown
trans.ellc.learn.army.mil,Unknown
uastc.ellc.learn.army.mil,Unknown
umm.ellc.learn.army.mil,Unknown
usaals.ellc.learn.army.mil,Unknown
usace.ellc.learn.army.mil,Unknown
usarec.ellc.learn.army.mil,Unknown
usawc.ellc.learn.army.mil,Unknown
whinsec.ellc.learn.army.mil,Unknown
wocc.ellc.learn.army.mil,Unknown
origin-ellc.learn.army.mil,Unknown
leavenworth.army.mil,Unknown
adfs.leavenworth.army.mil,Unknown
blackboard1.leavenworth.army.mil,Unknown
blackboard3.leavenworth.army.mil,Unknown
call.leavenworth.army.mil,Unknown
call2.leavenworth.army.mil,Unknown
cgsc2.leavenworth.army.mil,"Command and General Staff College, Directorate of Educational Technology (CGSC-DOET)"
garrison.leavenworth.army.mil,USAG Ft. Leavenworth
partis.leavenworth.army.mil,Unknown
s3-xonet.leavenworth.army.mil,Unknown
tkn.leavenworth.army.mil,Unknown
lee.army.mil,Fort Lee & Combined Arms Support Command
almc.lee.army.mil,Unknown
awm.lee.army.mil,U.S. Army Women's Museum
cascom.lee.army.mil,Unknown
cascom-web-001.cascom.lee.army.mil,Unknown
goordnance.lee.army.mil,"Ordnance School, Fort Lee, Va."
lss-nsis-001.lee.army.mil,Unknown
quartermaster.lee.army.mil,Unknown
sdcl.lee.army.mil,"Software Engineering Center-Lee, Fort Lee, Va."
transchool.lee.army.mil,Unknown
letterkenny.army.mil,Letterkenny Army Depot
ftextra.lewis.army.mil,Unknown
sponsor.lewis.army.mil,Unknown
webeoc.lewis.army.mil,Unknown
lewis-mcchord.army.mil,17th Fires Brigade
jbextra.lewis-mcchord.army.mil,Unknown
sponsor.lewis-mcchord.army.mil,Unknown
webeoc.lewis-mcchord.army.mil,Unknown
lia.army.mil,U.S. Army Logistics Innovation Agency
epic.lia.army.mil,Unknown
libraries.army.mil,Libraries
liggett.army.mil,USAG Fort Hunter LIgget
usag.livorno.army.mil,USAG Vicenza
origin-sigcoe.llc.army.mil,Unknown
sigcoe.llc.army.mil,Unknown
cts.lms.army.mil,Unknown
www.cts.lms.army.mil,Unknown
logsa.army.mil,Logistics Support Activity (LOGSA)
edmo.logsa.army.mil,Unknown
edmodemo.logsa.army.mil,Unknown
lins.logsa.army.mil,Unknown
mc4.army.mil,Army - MC4
mcaap.army.mil,McAlester Army Amunition Plant
mcclellan.army.mil,"Fort McClellan, Ala."
mccoy.army.mil,"Fort McCoy, Wis."
mcds.army.mil,Unknown
twilight.mdw.army.mil,Twilight Tattoo
ems.meade.army.mil,Unknown
mears.army.mil,Multi-User ECP Automated Review System (MEARS)
merits.army.mil,Unknown
milgaming.army.mil,Army Gaming
monterey.army.mil,USAG Presidio of Monterey
ms.army.mil,Army Modeling & Simulation Directorate
msl.army.mil,Program Executive Officer for Missiles and Space (PEO MS)
webtrac.mwr.army.mil,Unknown
afs.natick.army.mil,Unknown
airdrop.natick.army.mil,Unknown
impac.natick.army.mil,Unknown
impac2.natick.army.mil,Unknown
jc3.natick.army.mil,Unknown
jsip.natick.army.mil,Unknown
nctrfweb.natick.army.mil,Unknown
pcms.natick.army.mil,Unknown
surveys.natick.army.mil,Unknown
alc.ncoes.army.mil,Unknown
nrc.ncoes.army.mil,Unknown
origin-usasma.ncoes.army.mil,Unknown
slc.ncoes.army.mil,Unknown
usasma.ncoes.army.mil,Unknown
netcom.army.mil,Network Enterprise Technology Command
portal.netcom.army.mil,Unknown
al.ngb.army.mil,Alabama National Guard
arngedw.ngb.army.mil,Unknown
arngg1.ngb.army.mil,Unknown
webmail.az.ngb.army.mil,Unknown
cop.co.ngb.army.mil,Unknown
ct.ngb.army.mil,Connecticut National Guard
ngga-portal.ga.ngb.army.mil,Unknown
sportal.ga.ngb.army.mil,Unknown
il.ngb.army.mil,Illinois National Guard
owa.la.ngb.army.mil,Unknown
webmail.ma.ngb.army.mil,Unknown
md.ngb.army.mil,Maryland National Guard
me.ngb.army.mil,Maine National Guard
mi.ngb.army.mil,Unknown
www2.mi.ngb.army.mil,Unknown
mnarng.ngb.army.mil,Unknown
msowa.ngb.army.mil,Unknown
nc.ngb.army.mil,North Carolina National Guard
ndguard.ngb.army.mil,North Dakota National Guard
ngneowa.ne.ngb.army.mil,Unknown
ngga-portal.ngb.army.mil,Unknown
nh.ngb.army.mil,New Hampshire National Guard
nm.ngb.army.mil,New Mexico National Guard
webmail.nm.ngb.army.mil,Unknown
nv.ngb.army.mil,Nevada National Guard
ok.ngb.army.mil,"45th Infantry Brigade, Edmond, Okla."
ngokc2-pubweb.ok.ngb.army.mil,Unknown
pec.ngb.army.mil,Lavern E. Weber Professional Education Center (PEC)
esc.pec.ngb.army.mil,Unknown
pr.ngb.army.mil,Puerto Rico Army National Guard
rcweb.ngb.army.mil,Unknown
sportal.ngb.army.mil,Unknown
tn.ngb.army.mil,Tennessee National Guard
ut.ngb.army.mil,Utah National Guard
vko.va.ngb.army.mil,Virginia National Guard
vi.ngb.army.mil,Virgin Islands Army National Guard
webmail.vt.ngb.army.mil,Unknown
wv.ngb.army.mil,Joint Interagency Training and Education (JITEC)
wy.ngb.army.mil,Wyoming Army National Guard
ngga-portal.army.mil,Unknown
njsonline.army.mil,Unknown
oaa.army.mil,Administrative Assistant to the Secretary of the Army (AASA)
optics.army.mil,Unknown
origin-jagu.army.mil,Unknown
ascsp.osc.army.mil,Unknown
jmcsp.osc.army.mil,Unknown
imcom.pac.army.mil,Installation Management Command - Pacific Region
parks.army.mil,USAG Camp Parks
pba.army.mil,"Pine Bluff Arsenal, Ark."
pdmgpm2s.army.mil,Unknown
pdpnt.army.mil,Unknown
pecweb.army.mil,Unknown
peoammo.army.mil,Unknown
peoavn.army.mil,"Aviation Systems Project Management Office, Redstone Arsenal"
peoc3t.army.mil,"Program Executive Office for Command, Control and Communications-Tactical (PEO 3CT)"
peocscss.army.mil,"Product Manager - Sets, Kits, Outfits & Tools"
peoeis.army.mil,Unknown
peogcs.army.mil,PEO Ground Combat Systems
peosoldier.army.mil,U.S. Army - PEO Soldier
peostri.army.mil,"Program Executive Office for Simulation, Training and Instrumentation"
apims.peostri.army.mil,Unknown
pica.army.mil,Army - Picatinny Arsenal
ccsweb.pica.army.mil,Unknown
edmd4.pica.army.mil,Unknown
garrison.pica.army.mil,Unknown
lw155ide.pica.army.mil,Unknown
mytraining.pica.army.mil,Unknown
ocs.pica.army.mil,Unknown
optics.pica.army.mil,Unknown
picaa0lw155ide.pica.army.mil,Unknown
picac22850d.pica.army.mil,Unknown
picac22850f.pica.army.mil,Unknown
picac2cs9.pica.army.mil,Unknown
picac2dmzweb1.pica.army.mil,Unknown
picac2dmzweb3.pica.army.mil,Unknown
picac2ocsprod1.pica.army.mil,Unknown
picac2w4.pica.army.mil,Unknown
procnet.pica.army.mil,Unknown
w4.pica.army.mil,"Program Executive Office for Ammunition (PEO Ammo), Picatinny Arsenal"
pmmortars.army.mil,Unknown
portal.army.mil,Unknown
westpoint.portal.army.mil,Unknown
ppbbos-prd.army.mil,Unknown
ppbe.army.mil,Unknown
psdr.army.mil,Unknown
quartermaster.army.mil,"Quartermaster School, Fort Lee, Va."
r2csr.army.mil,Unknown
redriver.army.mil,"Red River Army Depot (RRAD), Texas"
redstone.army.mil,"Redstone Arsenal, Ala."
cairs2.redstone.army.mil,Unknown
chinook.redstone.army.mil,Cargo Helicopters Project Management Office
edis.redstone.army.mil,Unknown
edisca.redstone.army.mil,Unknown
g6msd.redstone.army.mil,Unknown
garrison.redstone.army.mil,Lead AMC Integration Support Office (LAISO)
immcweb.redstone.army.mil,SBBCOM Integrated Materiel Management Center (IMMC)
pmtmde.redstone.army.mil,"Product Manager Test, Measurement, and Diagnostic Equipment"
rsic.redstone.army.mil,Redstone Scientific Information Center (RISC)
tmde.redstone.army.mil,Unknown
tmdehome.redstone.army.mil,Unknown
usata.redstone.army.mil,Unknown
wwwedis.redstone.army.mil,Unknown
ref.army.mil,Rapid Equipping Force
ria-jmtc.ria.army.mil,Rock Island Arsenal Joint Manufacturing and Technology Center (JMTC)
secureweb.ria.army.mil,Unknown
riley.army.mil,"Fort Riley, Kansas"
necportal.riley.army.mil,Unknown
rma.army.mil,"Rocky Mountain Arsenal (RMA), Colo."
rmda.army.mil,Freedom of Information Act Electronic Reading Room
rp.army.mil,U.S. Army Garrison Rheinland-Pfalz
rrs.army.mil,"Recruiting and Retention School, Fort Jackson, S.C."
aesiptest.rsa.army.mil,Unknown
rtc.army.mil,Redstone Test Center (RTC)
